tool,defect,param,n_bad,n_good,good_p50,good_p5,good_p95,bad_p50,pct_diff,abs_cliffs,cliffs,welch_p,rf_imp,within_cv,actionable,sig,composite
1,Dent,Temp Z3,19,2077,134.0,106.0,172.0,136.0,2.04,0.03,0.03,0.6398364058148278,0.033,0.1603,True,False,0.0
1,Dent,Temp Z4,19,2077,128.0,102.0,164.0,132.0,3.45,0.076,0.076,0.4331976752196384,0.0288,0.1561,True,False,0.0
1,Burnt Carpet / Vynil,Temp. THT at Trigger,10,2077,155.0,150.0,210.0,155.0,0.62,0.267,0.267,0.8536349645736087,0.0021,0.1111,True,False,0.0
1,Burnt Carpet / Vynil,Temp. BHT at Trigger,10,2077,180.0,150.0,202.0,180.5,1.1,0.054,0.054,0.5516101146913002,0.0301,0.0797,True,False,0.0
1,Burnt Carpet / Vynil,heating time (tens of seconds),10,2077,467.0,333.0,699.2,500.0,5.3,0.289,0.289,0.1840141163542183,0.075,0.1635,True,False,0.0
1,Burnt Carpet / Vynil,Vacuum Time Tool Cavity A,10,2077,84.0,55.0,87.0,71.5,-8.61,0.342,-0.342,0.10508786912867411,0.0399,0.1312,True,False,0.0
1,Burnt Carpet / Vynil,Vacuum Time Tool Cavity B,10,2077,83.0,47.0,86.0,69.5,-12.39,0.336,-0.336,0.11794185758292565,0.0681,0.1883,True,False,0.0
1,Burnt Carpet / Vynil,BT Circuit 1 Temp,10,2077,28.0,26.0,29.0,29.0,2.86,0.448,0.448,0.0008341722167665097,0.052,0.0389,True,True,2.3488
1,Burnt Carpet / Vynil,BT Circuit 2 Temp,10,2077,26.0,24.0,27.0,27.0,1.51,0.22,0.22,0.10791682417284731,0.0161,0.0396,True,False,0.0
1,Burnt Carpet / Vynil,Graining Vacuum TTF Cavity 1,10,2077,1.0,1.0,2.0,1.5,10.44,0.148,0.148,0.4177731606236553,0.0032,0.3734,True,False,0.0
1,Burnt Carpet / Vynil,Machine Cycle Time,10,2077,834.0,721.8,9999.0,804.5,-59.25,0.186,-0.186,1.0728745627169676e-55,0.0691,1.531,True,True,2.8756
1,Burnt Carpet / Vynil,Capacity THT,10,2077,60.0,55.0,75.0,60.0,-0.56,0.022,-0.022,0.6810872877535608,0.0044,0.0808,True,False,0.0
1,Burnt Carpet / Vynil,Capacity BHT,10,2077,55.0,35.0,60.0,56.0,6.29,0.374,0.374,0.0019004470805756154,0.0299,0.1133,True,True,1.4203999999999999
1,Burnt Carpet / Vynil,Time Feed to Vacuum 1,10,2077,79.0,60.0,80.0,79.0,-0.38,0.11,-0.11,0.8848617462373739,0.0023,0.0744,True,False,0.0
1,Burnt Carpet / Vynil,Pyro Clean,10,2077,253.0,26.0,470.0,370.5,31.66,0.36,0.36,0.011002196359028698,0.1185,0.5196,True,False,0.0
